latitude,longitude,marches
43.5,3.4,217
44.1,5.0,217
43.9,4.4,217
48.0,0.1,217
48.1,-0.0,217
43.5,6.6,216
49.6,1.5,216
48.9,7.9,215
44.3,4.7,215
43.7,-1.1,215
48.4,-4.7,214
43.2,5.5,213
47.9,0.3,213
47.3,-1.9,213
45.1,1.3,213
45.4,6.5,213
44.1,6.9,212
48.5,2.4,212
49.1,2.4,212
48.5,1.5,212
45.0,-1.1,212
47.9,2.1,211
48.1,-1.4,211
47.2,-1.0,209
48.5,-4.7,209
48.8,3.3,209
49.1,2.3,208
46.2,-1.4,208
48.4,0.8,208
43.1,-0.4,208
47.7,6.5,208
48.6,-4.5,207
47.9,-3.0,207
43.9,1.5,207
42.8,2.9,206
47.4,0.4,205
45.9,6.0,205
44.4,5.1,205
47.5,3.9,205
45.0,5.4,205
44.8,-0.3,204
48.3,6.1,204
43.5,1.6,204
45.3,6.4,204
47.6,7.5,202
43.9,5.0,202
46.3,6.8,202
46.0,6.6,202
47.4,1.0,201
47.5,2.4,201
44.5,3.3,200
47.9,4.0,199
44.8,0.2,198
48.6,6.2,198
45.2,4.2,198
48.2,-0.1,198
43.4,6.3,198
46.9,-1.9,197
45.4,5.5,197
43.5,3.2,197
42.5,2.8,197
44.0,3.6,197
49.7,4.9,196
50.5,2.9,195
43.4,6.4,194
47.1,-1.5,194
45.4,0.7,194
47.0,-1.8,194
43.9,4.6,193
47.8,1.1,193
49.5,-1.5,192
46.9,-2.1,192
45.3,4.3,192
48.0,3.4,191
48.1,0.5,190
44.7,-0.6,190
46.0,4.8,189
44.4,3.2,188
43.8,7.3,188
48.2,-4.5,188
45.6,5.6,187
50.2,3.8,186
46.9,-0.9,186
45.6,0.1,186
48.5,2.5,186
48.9,7.7,186
44.2,1.5,185
44.3,2.4,184
43.7,0.6,184
43.8,4.5,184
45.3,6.9,184
47.9,-2.9,184
48.0,-0.8,183
48.4,7.4,183
49.1,6.9,183
47.7,0.3,182
